H,I,S,D,M,date,country
14,4,11,270,945,2021-09-24,Japan
6,0,12,41,340,2021-09-25,Afghanistan
0,1,0,18,84,2021-09-25,Sweden
12,6,11,270,945,2021-09-25,Japan
6,0,11,41,341,2021-09-26,Afghanistan
0,1,0,18,84,2021-09-26,Sweden
10,6,11,270,947,2021-09-26,Japan
6,0,9,41,343,2021-09-27,Afghanistan
0,1,0,18,84,2021-09-27,Sweden
9,7,11,270,947,2021-09-27,Japan
4,2,8,41,344,2021-09-28,Afghanistan
0,1,0,18,84,2021-09-28,Sweden
9,5,11,270,949,2021-09-28,Japan
4,2,6,41,346,2021-09-29,Afghanistan
0,0,0,18,85,2021-09-29,Sweden
7,5,11,270,951,2021-09-29,Japan
4,2,6,41,346,2021-09-30,Afghanistan
0,0,0,18,85,2021-09-30,Sweden
7,3,11,270,953,2021-09-30,Japan
4,2,5,41,347,2021-10-01,Afghanistan
0,0,0,18,85,2021-10-01,Sweden
5,4,12,270,953,2021-10-01,Japan
4,0,5,41,349,2021-10-02,Afghanistan
0,0,0,18,85,2021-10-02,Sweden
6,4,11,270,953,2021-10-02,Japan
3,1,4,42,349,2021-10-03,Afghanistan
0,0,0,18,85,2021-10-03,Sweden
5,3,10,271,955,2021-10-03,Japan
3,1,3,42,350,2021-10-04,Afghanistan
0,0,0,18,85,2021-10-04,Sweden
3,5,10,271,955,2021-10-04,Japan
3,1,2,42,351,2021-10-05,Afghanistan
0,0,0,18,85,2021-10-05,Sweden
3,3,9,271,958,2021-10-05,Japan
3,1,1,42,352,2021-10-06,Afghanistan
0,0,0,18,85,2021-10-06,Sweden
3,3,8,271,959,2021-10-06,Japan
3,0,2,42,352,2021-10-07,Afghanistan
0,0,0,18,85,2021-10-07,Sweden
2,3,9,271,959,2021-10-07,Japan
3,0,2,42,352,2021-10-08,Afghanistan
0,0,0,18,85,2021-10-08,Sweden
2,1,11,271,959,2021-10-08,Japan
3,0,2,42,352,2021-10-09,Afghanistan
0,0,0,18,85,2021-10-09,Sweden
2,1,11,271,959,2021-10-09,Japan
2,1,2,42,352,2021-10-10,Afghanistan
0,0,0,18,85,2021-10-10,Sweden
1,2,10,271,960,2021-10-10,Japan
3,1,2,42,351,2021-10-11,Afghanistan
0,0,0,18,85,2021-10-11,Sweden
1,1,10,271,961,2021-10-11,Japan
3,1,2,42,351,2021-10-12,Afghanistan
0,0,0,18,85,2021-10-12,Sweden
1,1,8,271,963,2021-10-12,Japan
2,2,2,42,351,2021-10-13,Afghanistan
0,0,0,18,85,2021-10-13,Sweden
1,1,7,271,964,2021-10-13,Japan
2,1,3,42,351,2021-10-14,Afghanistan
0,0,0,18,85,2021-10-14,Sweden
1,0,7,271,965,2021-10-14,Japan
2,1,3,42,351,2021-10-15,Afghanistan
0,0,0,18,85,2021-10-15,Sweden
1,0,6,271,966,2021-10-15,Japan
2,1,2,42,352,2021-10-16,Afghanistan
0,0,0,18,85,2021-10-16,Sweden
1,0,6,271,966,2021-10-16,Japan
2,0,3,42,352,2021-10-17,Afghanistan
0,0,0,18,85,2021-10-17,Sweden
1,0,5,271,967,2021-10-17,Japan
1,1,3,42,352,2021-10-18,Afghanistan
0,0,0,18,85,2021-10-18,Sweden
1,0,5,271,967,2021-10-18,Japan
1,1,3,42,352,2021-10-19,Afghanistan
0,0,0,18,85,2021-10-19,Sweden
1,0,4,271,968,2021-10-19,Japan
1,1,3,42,352,2021-10-20,Afghanistan
0,0,0,18,85,2021-10-20,Sweden
0,1,4,271,968,2021-10-20,Japan
1,1,2,42,353,2021-10-21,Afghanistan
0,0,0,18,85,2021-10-21,Sweden
0,1,3,271,969,2021-10-21,Japan
1,0,3,42,353,2021-10-22,Afghanistan
0,0,0,18,85,2021-10-22,Sweden
0,1,1,271,971,2021-10-22,Japan
1,0,3,42,353,2021-10-23,Afghanistan
0,0,0,18,85,2021-10-23,Sweden
0,1,1,271,971,2021-10-23,Japan
